State,Total_Transactions,Total_amount
andhra-pradesh,3834825,7940105016
andhra-pradesh,3427039,9832657321
andhra-pradesh,3052771,7213837063
andhra-pradesh,2892664,5705916881
andhra-pradesh,2613562,7256266064
andhra-pradesh,2553688,5906664131
andhra-pradesh,10701326,23300508691
andhra-pradesh,9780096,22841763578
andhra-pradesh,5982442,11419848822
andhra-pradesh,5320101,14633600592
andhra-pradesh,4866065,9768221618
andhra-pradesh,4242875,11355623169
andhra-pradesh,4177023,7797927714
andhra-pradesh,4040160,8752025049
andhra-pradesh,3370675,8720115499
andhra-pradesh,3206301,6832329072
andhra-pradesh,14158439,30358274591
andhra-pradesh,10216678,24428085477
andhra-pradesh,7246667,13514835187
andhra-pradesh,5790910,11415016234
andhra-pradesh,5716025,15397268124
andhra-pradesh,5252680,9484946023
andhra-pradesh,4989759,13298088500
andhra-pradesh,4892740,10235401678
andhra-pradesh,4198904,8551737728
andhra-pradesh,4058071,10324818012
andhra-pradesh,16133298,35123754551
andhra-pradesh,10293117,25355928766
andhra-pradesh,8062447,14807178133
andhra-pradesh,6660899,12913687867
andhra-pradesh,6254668,16297042494
andhra-pradesh,5691035,15226428278
andhra-pradesh,5585462,11393585212
andhra-pradesh,5554647,9991176892
andhra-pradesh,4513789,11365056780
andhra-pradesh,4492155,9108501442
andhra-pradesh,18822839,40556750378
andhra-pradesh,12256092,29600523030
andhra-pradesh,9320394,17071503296
andhra-pradesh,7667416,14863715365
andhra-pradesh,7584902,19447767872
andhra-pradesh,6470271,11522114399
andhra-pradesh,6291639,12847256630
andhra-pradesh,6073875,16041957320
andhra-pradesh,5301338,10747157086
andhra-pradesh,4927880,12452111308
andhra-pradesh,10427710,24452749355
andhra-pradesh,9028550,16685152652
andhra-pradesh,7638906,14893051969
andhra-pradesh,6897466,17798259712
andhra-pradesh,6608575,14799455202
andhra-pradesh,6370783,17359205739
andhra-pradesh,6352195,11280121650
andhra-pradesh,6120942,12350133591
andhra-pradesh,5372903,10801020195
andhra-pradesh,5350632,13517253500
andhra-pradesh,10249750,23326515678
andhra-pradesh,9601016,17160601029
andhra-pradesh,8255182,15452889827
andhra-pradesh,6770365,11575693177
andhra-pradesh,6566772,12647557282
andhra-pradesh,6419773,13879436431
andhra-pradesh,5887349,11108836640
andhra-pradesh,5810257,12488419884
andhra-pradesh,5685286,14883019280
andhra-pradesh,5545373,13027211099
arunachal-pradesh,4253,8605127.65
arunachal-pradesh,4207,9841038.919
arunachal-pradesh,3286,5671981.375
arunachal-pradesh,2704,4457038.562
arunachal-pradesh,2114,4578762.301
arunachal-pradesh,2112,3137887.501
arunachal-pradesh,2097,3667031.75
arunachal-pradesh,2041,5020173.998
arunachal-pradesh,1955,6492923.794
arunachal-pradesh,1865,2638135.149
arunachal-pradesh,7878,19894634.32
arunachal-pradesh,7239,20302894.32
arunachal-pradesh,6046,11116134.49
arunachal-pradesh,4689,11109804.76
arunachal-pradesh,4436,10757634.64
arunachal-pradesh,4342,9787595.363
arunachal-pradesh,4159,10355129.8
arunachal-pradesh,3885,10332844.69
arunachal-pradesh,3638,13733030.97
arunachal-pradesh,3486,8901023.682
arunachal-pradesh,13489,28577947.49
arunachal-pradesh,10508,33766761.06
arunachal-pradesh,9777,18868814.47
arunachal-pradesh,8636,14623073.03
arunachal-pradesh,6870,19935455.78
arunachal-pradesh,6672,16204421.8
arunachal-pradesh,6434,18213474.58
arunachal-pradesh,6307,16330131.58
arunachal-pradesh,6191,14657152.43
arunachal-pradesh,5120,16131802.08
arunachal-pradesh,18305,50770919.03
arunachal-pradesh,14891,50578761.54
arunachal-pradesh,11990,28553763.56
arunachal-pradesh,10791,42561249.91
arunachal-pradesh,8743,23841863.53
arunachal-pradesh,8727,28710303.17
arunachal-pradesh,8156,19785304.8
arunachal-pradesh,7660,17851253.03
arunachal-pradesh,7520,18988989.14
arunachal-pradesh,6597,21188725.1
arunachal-pradesh,21769,56305175.16
arunachal-pradesh,18706,57464660.99
arunachal-pradesh,14504,35128890.14
arunachal-pradesh,13724,44410163.52
arunachal-pradesh,11691,24669479.82
arunachal-pradesh,10893,28900698.05
arunachal-pradesh,10231,29899156.53
arunachal-pradesh,10190,28841570.72
arunachal-pradesh,9575,24797020.74
arunachal-pradesh,9149,26500818.4
arunachal-pradesh,28827,80501052.66
arunachal-pradesh,24040,77741634.14
arunachal-pradesh,14906,38658949.4
arunachal-pradesh,13929,48120977.09
arunachal-pradesh,12970,37636424.9
arunachal-pradesh,12562,43392107.21
arunachal-pradesh,12214,28228154.98
arunachal-pradesh,11232,29778429.81
arunachal-pradesh,11076,30442992.65
arunachal-pradesh,10926,36302058.3
arunachal-pradesh,38560,104152420.7
arunachal-pradesh,32844,92522169.4
arunachal-pradesh,20744,50221808.11
arunachal-pradesh,19591,49174022.06
arunachal-pradesh,19201,53454221.51
arunachal-pradesh,18759,57742402.57
arunachal-pradesh,17253,38310432.23
arunachal-pradesh,15882,43198540.63
arunachal-pradesh,15645,35020210.51
arunachal-pradesh,14867,29287244.19
arunachal-pradesh,46210,135166318.9
arunachal-pradesh,38960,109780309.5
arunachal-pradesh,25720,67044021.64
arunachal-pradesh,25493,64172690.79
arunachal-pradesh,23418,71137191.35
arunachal-pradesh,22297,45950095.41
arunachal-pradesh,22263,69716144.71
arunachal-pradesh,21777,62382535.12
arunachal-pradesh,18262,41638209.32
arunachal-pradesh,17833,33159442.66
arunachal-pradesh,53858,134164730.9
arunachal-pradesh,44651,118592432.5
arunachal-pradesh,40087,114373417.7
arunachal-pradesh,30846,73201195.24
arunachal-pradesh,27462,65003236.3
arunachal-pradesh,25027,68279455.37
arunachal-pradesh,24414,66277727.27
arunachal-pradesh,23370,55255805.31
arunachal-pradesh,22588,54519489.86
arunachal-pradesh,22374,43679801.42
arunachal-pradesh,66660,161486745.4
arunachal-pradesh,58840,143307742.4
arunachal-pradesh,50996,97581020.84
arunachal-pradesh,49710,128006452.9
arunachal-pradesh,39797,83935770.27
arunachal-pradesh,38760,84597533.51
arunachal-pradesh,34466,94485243.4
arunachal-pradesh,33392,72498626.74
arunachal-pradesh,28051,69882584.57
arunachal-pradesh,27329,80597964.57
arunachal-pradesh,85276,286434881.1
arunachal-pradesh,83578,224119989.4
arunachal-pradesh,73373,201615153.5
arunachal-pradesh,59485,147103673
arunachal-pradesh,43165,97856482.63
arunachal-pradesh,42704,140524891.7
arunachal-pradesh,40143,98429547.73
arunachal-pradesh,39931,105026195.7
arunachal-pradesh,34849,106829704
arunachal-pradesh,31126,106324283.8
arunachal-pradesh,115682,355243299.6
arunachal-pradesh,100879,340893583.5
arunachal-pradesh,96702,282834295.4
arunachal-pradesh,74774,202391786.3
arunachal-pradesh,53234,132562026.2
arunachal-pradesh,51950,144602124
arunachal-pradesh,51529,123814287.8
arunachal-pradesh,51050,182176489.6
arunachal-pradesh,40492,120719478.2
arunachal-pradesh,36197,118862457.9
arunachal-pradesh,127025,394958954.7
arunachal-pradesh,119184,404502103.3
arunachal-pradesh,89356,307014656.9
arunachal-pradesh,68000,211432038.7
arunachal-pradesh,53040,141156670.3
arunachal-pradesh,50407,164065117.9
arunachal-pradesh,48954,130623865.6
arunachal-pradesh,39581,151312863.2
arunachal-pradesh,39332,128400296.6
arunachal-pradesh,38205,115157748.8
arunachal-pradesh,170268,432196673.5
arunachal-pradesh,160245,449983951.2
arunachal-pradesh,122368,333974912.1
arunachal-pradesh,87524,235678147.9
arunachal-pradesh,76949,179343401.6
arunachal-pradesh,68927,214550532.1
arunachal-pradesh,64602,146046509.5
arunachal-pradesh,52742,184653080.7
arunachal-pradesh,52323,145624699.3
arunachal-pradesh,48726,157622337.2
arunachal-pradesh,225427,582965112.5
arunachal-pradesh,207417,603165812.3
arunachal-pradesh,153845,442067361.4
arunachal-pradesh,105715,296166087.8
arunachal-pradesh,88032,194244543
arunachal-pradesh,80894,180486995.1
arunachal-pradesh,77128,259793926
arunachal-pradesh,66461,197947119.6
arunachal-pradesh,65008,261069265.8
arunachal-pradesh,61516,220804392.1
arunachal-pradesh,279958,685093585.2
arunachal-pradesh,258928,718387355.2
arunachal-pradesh,206496,557846901.8
arunachal-pradesh,134017,368703032.4
arunachal-pradesh,115871,238038756.7
arunachal-pradesh,101771,220359430.8
arunachal-pradesh,93449,317887115.4
arunachal-pradesh,84621,218599005
arunachal-pradesh,81804,235869670
arunachal-pradesh,77658,269438817.2
arunachal-pradesh,336780,819363323.7
arunachal-pradesh,332485,853173424.2
arunachal-pradesh,262617,658150204.4
arunachal-pradesh,159945,417052440.3
arunachal-pradesh,129210,277477788.7
arunachal-pradesh,121068,265189556.3
arunachal-pradesh,111918,254266306.4
arunachal-pradesh,105769,364396148.4
arunachal-pradesh,84017,238200426.2
arunachal-pradesh,82546,221708919.6
arunachal-pradesh,449672,1063144517
arunachal-pradesh,365813,825171645.9
arunachal-pradesh,293972,636386755.6
arunachal-pradesh,202400,506976441.1
arunachal-pradesh,171123,328590057
arunachal-pradesh,168260,347653259.9
arunachal-pradesh,160963,328923537.8
arunachal-pradesh,138781,429415327.5
arunachal-pradesh,104904,274482044
arunachal-pradesh,104888,264639160.7
arunachal-pradesh,493396,989512226.2
arunachal-pradesh,430374,859784995.2
arunachal-pradesh,350164,659314612.6
arunachal-pradesh,223033,502704076
arunachal-pradesh,177984,312906039.7
arunachal-pradesh,171234,304861466
arunachal-pradesh,168900,302218714.1
arunachal-pradesh,156417,457311028.7
arunachal-pradesh,122875,208103073
arunachal-pradesh,119024,273945832
arunachal-pradesh,579246,1065690345
arunachal-pradesh,486688,876349333.8
arunachal-pradesh,386008,654736963.6
arunachal-pradesh,261421,545042068.7
arunachal-pradesh,210161,343379974.8
arunachal-pradesh,208541,333708831.3
arunachal-pradesh,204796,538239069.5
arunachal-pradesh,199942,337367639.3
arunachal-pradesh,153846,233172634.4
